Neigh,CSA,Pop2010,Zip,MHINC,TotalCOVIDCases
Franklintown,Dickeyville/Franklintown,4101.0,21207,37847.5,4094.0
Purnell,Dickeyville/Franklintown,4101.0,21207,37847.5,4094.0
Wakefield,Dickeyville/Franklintown,4101.0,21207,37847.5,4094.0
Concerned Citizens Of Forest Park,Forest Park/Walbrook,9849.0,21207,44764.3,4094.0
Fairmont,Forest Park/Walbrook,9849.0,21207,44764.3,4094.0
Forest Park,Forest Park/Walbrook,9849.0,21207,44764.3,4094.0
Garwyn Oaks,Forest Park/Walbrook,9849.0,21207,44764.3,4094.0
Mount Holly,Forest Park/Walbrook,9849.0,21207,44764.3,4094.0
West Forest Park,Forest Park/Walbrook,9849.0,21207,44764.3,4094.0
Windsor Hills,Forest Park/Walbrook,9849.0,21207,44764.3,4094.0
Highlandtown,Howard Park/W. Arlington,7250.0,21207,88324.0,4094.0
South Clifton Park,Cross Country/Cheswolde,9874.0,21208,31291.1,2986.0
Windsor Hills,Glen-Fallstaff,14914.0,21208,42439.1,2986.0
South Clifton Park,Cross Country/Cheswolde,9874.0,21209,31291.1,1966.0
Ashburton,Dorchester/Ashburton,11786.0,21209,45497.3,1966.0
Callaway-Garrison,Dorchester/Ashburton,11786.0,21209,45497.3,1966.0
Central Forest Park,Dorchester/Ashburton,11786.0,21209,45497.3,1966.0
Dolfield,Dorchester/Ashburton,11786.0,21209,45497.3,1966.0
Dorchester,Dorchester/Ashburton,11786.0,21209,45497.3,1966.0
East Arlington,Dorchester/Ashburton,11786.0,21209,45497.3,1966.0
Cross Keys,Greater Roland Park/Poplar Hill,7377.0,21209,117951.4,1966.0
Evergreen,Greater Roland Park/Poplar Hill,7377.0,21209,117951.4,1966.0
Keswick,Greater Roland Park/Poplar Hill,7377.0,21209,117951.4,1966.0
North Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,7377.0,21209,117951.4,1966.0
Roland Park,Greater Roland Park/Poplar Hill,7377.0,21209,117951.4,1966.0
Wyndhurst,Greater Roland Park/Poplar Hill,7377.0,21209,117951.4,1966.0
Hampden,Medfield/Hampden/Woodberry/Remington,17388.0,21209,68526.0,1966.0
Hoes Heights,Medfield/Hampden/Woodberry/Remington,17388.0,21209,68526.0,1966.0
Jones Falls Area,Medfield/Hampden/Woodberry/Remington,17388.0,21209,68526.0,1966.0
Medfield,Medfield/Hampden/Woodberry/Remington,17388.0,21209,68526.0,1966.0
Remington,Medfield/Hampden/Woodberry/Remington,17388.0,21209,68526.0,1966.0
Woodberry,Medfield/Hampden/Woodberry/Remington,17388.0,21209,68526.0,1966.0
Wyman Park,Medfield/Hampden/Woodberry/Remington,17388.0,21209,68526.0,1966.0
Coldspring,Mt. Washington/Coldspring,5168.0,21209,84848.1,1966.0
Mt. Washington,Mt. Washington/Coldspring,5168.0,21209,84848.1,1966.0
Sabina-Mattfeldt,Mt. Washington/Coldspring,5168.0,21209,84848.1,1966.0
Arlington,Pimlico/Arlington/Hilltop,11816.0,21209,32189.6,1966.0
Central Park Heights,Pimlico/Arlington/Hilltop,11816.0,21209,32189.6,1966.0
Cylburn,Pimlico/Arlington/Hilltop,11816.0,21209,32189.6,1966.0
Langston Hughes,Pimlico/Arlington/Hilltop,11816.0,21209,32189.6,1966.0
Levindale,Pimlico/Arlington/Hilltop,11816.0,21209,32189.6,1966.0
Pimlico Good Neighbors,Pimlico/Arlington/Hilltop,11816.0,21209,32189.6,1966.0
Cross Keys,Greater Roland Park/Poplar Hill,7377.0,21210,117951.4,394.0
Evergreen,Greater Roland Park/Poplar Hill,7377.0,21210,117951.4,394.0
Keswick,Greater Roland Park/Poplar Hill,7377.0,21210,117951.4,394.0
North Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,7377.0,21210,117951.4,394.0
Roland Park,Greater Roland Park/Poplar Hill,7377.0,21210,117951.4,394.0
Wyndhurst,Greater Roland Park/Poplar Hill,7377.0,21210,117951.4,394.0
Hampden,Medfield/Hampden/Woodberry/Remington,17388.0,21210,68526.0,394.0
Hoes Heights,Medfield/Hampden/Woodberry/Remington,17388.0,21210,68526.0,394.0
Jones Falls Area,Medfield/Hampden/Woodberry/Remington,17388.0,21210,68526.0,394.0
